# IOC Export  2026-08-01_22-57-UTC
# 101 Samples  |  Format: sha256  # kategorie | score | familie | typ
#
[SHA256]
  CTX                            exe.adware.yogi
  CrowdStrike                    win/malicious_confidence_90% (D)
  Cylance                        Unsafe
  Cynet                          Malicious (score: 99)
  DeepInstinct                   MALICIOUS
  ESET-NOD32                     Python/Filecoder.CLE trojan
  Elastic                        malicious (high confidence)
  Emsisoft                       Gen:Variant.Adware.Yogi.1551 (B)
  F-Secure                       Trojan.TR/W64.MalwareX
  GData                          Gen:Variant.Adware.Yogi.1551
  Malwarebytes                   Malware.AI.153698303
  MicroWorld-eScan               Gen:Variant.Adware.Yogi.1551
  Microsoft                      Trojan:Win32/Wacatac.B!ml
  SentinelOne                    Static AI - Suspicious PE
  Skyhigh                        BehavesLike.Win64.Dropper.tc
  VIPRE                          Gen:Variant.Adware.Yogi.1551

## 266ee21a6c9f3408e472...  (Efimer) ⭐ WOCHEN-SAMPLE | Defender: ✓ Gen:Variant.Yogi.14068
   Erkannt: 36/75 Engines (48.0%) — 🟠 MÄSSIG ERKANNT
  ALYac                          Gen:Variant.Yogi.14068
  APEX                           Malicious
  AVG                            FileRepMalware [Misc]
  Alibaba                        TrojanDropper:Application/Generic.a9a11e9a
  Arcabit                        Trojan.Yogi.D36F4
  Avast                          FileRepMalware [Misc]
  BitDefender                    Gen:Variant.Yogi.14068
  Bkav                           W32.Malware.7E38CB70
  CTX                            exe.trojan.python
  CrowdStrike                    win/malicious_confidence_90% (W)
  Cylance                        Unsafe
  DeepInstinct                   MALICIOUS
  ESET-NOD32                     Python/TrojanDropper.Agent.NH trojan
  Elastic                        malicious (high confidence)
  Emsisoft                       Gen:Variant.Yogi.14068 (B)
  GData                          Gen:Variant.Yogi.14068
  Google                         Detected
  Gridinsoft                     Trojan.Win64.Agent.sa
  Kaspersky                      HEUR:Trojan.Python.Agent.gen
  Kingsoft                       Win32.Troj.Unknown.a
  Lionic                         Trojan.Win32.Agent.Y!c
  Malwarebytes                   Trojan.Dropper
  MicroWorld-eScan               Gen:Variant.Yogi.14068
  Microsoft                      Trojan:Win32/Egairtigado!rfn
  Paloalto                       generic.ml
  Rising                         Dropper.Agent!8.2F (CLOUD)
  SentinelOne                    Static AI - Suspicious PE
  Sophos                         Mal/Generic-S
  Symantec                       Trojan.Gen.MBT
  Tencent                        Win32.Trojan.Agent.Itgl
  TrellixENS                     Artemis!14B1EB938F22
  TrendMicro-HouseCall           TROJ_GEN.R002H09H126
  VIPRE                          Gen:Variant.Yogi.14068
  Varist                         W64/Agent.MPL.gen!Eldorado
  Webroot                        Win.Trojan.Gen
  alibabacloud                   Trojan[dropper]:Python/Wacatac.B9nj
